Parental_OA,Exposure_OA,treatment,Generation,Tank,Tank_Number,Date,Age,Count,proportion,Percent_Survival
WILD,LOW,Low OA,1,D,4,8/13/2021,18,10533,0.04,4.21333
WILD,LOW,Low OA,1,E,5,8/13/2021,18,15083,0.06,6.03333
WILD,MODERATE,Moderate OA,1,A,6,8/13/2021,18,623,0.00,0.24933
WILD,MODERATE,Moderate OA,1,B,7,8/13/2021,18,433,0.00,0.17333
WILD,MODERATE,Moderate OA,1,C,8,8/13/2021,18,3960,0.02,1.584
WILD,MODERATE,Moderate OA,1,D,9,8/13/2021,18,1733,0.01,0.69333
WILD,MODERATE,Moderate OA,1,E,10,8/13/2021,18,400,0.00,0.16
WILD,HIGH,High OA,1,A,11,8/13/2021,18,61,0.00,0.0244
WILD,HIGH,High OA,1,B,12,8/13/2021,18,23,0.00,0.0092
LOW,LOW,Low_Low,3,A,1,4/7/2023,2,"76,128.00",0.19,19.28
LOW,LOW,Low_Low,3,B,2,4/7/2023,2,"60,090.67",0.15,15.15
LOW,LOW,Low_Low,3,C,3,4/7/2023,2,"91,466.67",0.23,23.37
MODERATE,LOW,Mod_Low,3,A,4,4/7/2023,2,"74,612.00",0.19,18.93
MODERATE,LOW,Mod_Low,3,B,5,4/7/2023,2,"106,358.00",0.27,27
MODERATE,LOW,Mod_Low,3,C,6,4/7/2023,2,"96,238.67",0.25,24.53
LOW,MODERATE,Low_Mod,3,A,7,4/7/2023,2,"70,286.67",0.18,17.82
LOW,MODERATE,Low_Mod,3,B,8,4/7/2023,2,"68,715.33",0.17,17.4
LOW,MODERATE,Low_Mod,3,C,9,4/7/2023,2,"68,908.00",0.17,17.4
MODERATE,MODERATE,Mod_Mod,3,A,10,4/7/2023,2,"87,360.00",0.22,22.17
MODERATE,MODERATE,Mod_Mod,3,B,11,4/7/2023,2,"74,612.00",0.19,18.93
MODERATE,MODERATE,Mod_Mod,3,C,12,4/7/2023,2,"93,600.00",0.24,23.78
LOW,HIGH,Low_High,3,A,13,4/7/2023,2,"59,453.33",0.15,15.07
LOW,HIGH,Low_High,3,B,14,4/7/2023,2,"85,064.00",0.22,21.7
LOW,HIGH,Low_High,3,C,15,4/7/2023,2,"67,392.00",0.17,17.04
MODERATE,HIGH,Mod_High,3,A,16,4/7/2023,2,"117,417.33",0.30,29.88
MODERATE,HIGH,Mod_High,3,B,17,4/7/2023,2,"87,360.00",0.22,22.17
MODERATE,HIGH,Mod_High,3,C,18,4/7/2023,2,"111,589.33",0.29,28.64
HIGH,LOW,High_Low,3,A,19,4/7/2023,2,"90,844.00",0.23,23.1
HIGH,LOW,High_Low,3,B,20,4/7/2023,2,"70,286.67",0.18,17.82
HIGH,LOW,High_Low,3,C,21,4/7/2023,2,"77,376.00",0.20,19.6
HIGH,MODERATE,High_Mod,3,A,22,4/7/2023,2,"106,100.00",0.27,26.96
HIGH,MODERATE,High_Mod,3,B,23,4/7/2023,2,"80,838.00",0.21,20.56
HIGH,MODERATE,High_Mod,3,C,24,4/7/2023,2,"104,832.00",0.27,26.69
HIGH,HIGH,High_High,3,A,25,4/7/2023,2,"94,076.00",0.24,23.96
HIGH,HIGH,High_High,3,B,26,4/7/2023,2,"100,564.00",0.26,25.65
HIGH,HIGH,High_High,3,C,27,4/7/2023,2,"76,774.67",0.19,19.49
LOW,LOW,Low_Low,3,A,1,4/10/2023,5,"36,135.67",0.09,9.15
LOW,LOW,Low_Low,3,B,2,4/10/2023,5,"46,953.00",0.12,11.84
LOW,LOW,Low_Low,3,C,3,4/10/2023,5,"29,964.00",0.08,7.65
MODERATE,LOW,Mod_Low,3,A,4,4/10/2023,5,"46,953.00",0.12,11.92
MODERATE,LOW,Mod_Low,3,B,5,4/10/2023,5,"58,941.00",0.15,14.96
MODERATE,LOW,Mod_Low,3,C,6,4/10/2023,5,"58,283.33",0.15,14.85
LOW,MODERATE,Low_Mod,3,A,7,4/10/2023,5,"40,959.00",0.10,10.38
LOW,MODERATE,Low_Mod,3,B,8,4/10/2023,5,"32,638.67",0.08,8.26
LOW,MODERATE,Low_Mod,3,C,9,4/10/2023,5,"46,631.67",0.12,11.77
MODERATE,MODERATE,Mod_Mod,3,A,10,4/10/2023,5,"58,622.67",0.15,14.88
MODERATE,MODERATE,Mod_Mod,3,B,11,4/10/2023,5,"51,961.00",0.13,13.19
MODERATE,MODERATE,Mod_Mod,3,C,12,4/10/2023,5,"69,930.00",0.18,17.77
LOW,HIGH,Low_High,3,A,13,4/10/2023,5,"45,778.33",0.12,11.61
LOW,HIGH,Low_High,3,B,14,4/10/2023,5,"36,135.67",0.09,9.22
LOW,HIGH,Low_High,3,C,15,4/10/2023,5,"44,295.33",0.11,11.2
MODERATE,HIGH,Mod_High,3,A,16,4/10/2023,5,"53,269.33",0.14,13.56
MODERATE,HIGH,Mod_High,3,B,17,4/10/2023,5,"30,796.33",0.08,7.82
MODERATE,HIGH,Mod_High,3,C,18,4/10/2023,5,"48,275.33",0.12,12.39
HIGH,LOW,High_Low,3,A,19,4/10/2023,5,"62,425.00",0.16,15.87
HIGH,LOW,High_Low,3,B,20,4/10/2023,5,"69,940.00",0.18,17.73
HIGH,LOW,High_Low,3,C,21,4/10/2023,5,"68,251.33",0.17,17.3
HIGH,MODERATE,High_Mod,3,A,22,4/10/2023,5,"64,935.00",0.17,16.5
HIGH,MODERATE,High_Mod,3,B,23,4/10/2023,5,"75,924.00",0.19,19.32
HIGH,MODERATE,High_Mod,3,C,24,4/10/2023,5,"41,958.00",0.11,10.68
HIGH,HIGH,High_High,3,A,25,4/10/2023,5,"55,944.00",0.14,14.25
HIGH,HIGH,High_High,3,B,26,4/10/2023,5,"66,443.00",0.17,16.95
HIGH,HIGH,High_High,3,C,27,4/10/2023,5,"47,792.33",0.12,12.13
LOW,LOW,Low_Low,3,A,1,4/12/2023,7,"41,566.67",0.11,10.53
LOW,LOW,Low_Low,3,B,2,4/12/2023,7,"46,517.33",0.12,11.73
LOW,LOW,Low_Low,3,C,3,4/12/2023,7,"23,060.25",0.06,5.89
MODERATE,LOW,Mod_Low,3,A,4,4/12/2023,7,"35,747.33",0.09,9.07
MODERATE,LOW,Mod_Low,3,B,5,4/12/2023,7,"51,844.00",0.13,13.17
MODERATE,LOW,Mod_Low,3,C,6,4/12/2023,7,"34,562.67",0.09,8.81
LOW,MODERATE,Low_Mod,3,A,7,4/12/2023,7,"37,886.00",0.10,9.61
LOW,MODERATE,Low_Mod,3,B,8,4/12/2023,7,"24,592.67",0.06,6.23
LOW,MODERATE,Low_Mod,3,C,9,4/12/2023,7,"31,239.33",0.08,7.89
MODERATE,MODERATE,Mod_Mod,3,A,10,4/12/2023,7,"42,398.00",0.11,10.77
MODERATE,MODERATE,Mod_Mod,3,B,11,4/12/2023,7,"39,072.67",0.10,9.92
MODERATE,MODERATE,Mod_Mod,3,C,12,4/12/2023,7,"59,856.00",0.15,15.22
LOW,HIGH,Low_High,3,A,13,4/12/2023,7,"2,440.00",0.01,0.62
LOW,HIGH,Low_High,3,B,14,4/12/2023,7,"32,422.00",0.08,8.27
LOW,HIGH,Low_High,3,C,15,4/12/2023,7,"31,239.33",0.08,7.9
MODERATE,HIGH,Mod_High,3,A,16,4/12/2023,7,"31,590.67",0.08,8.04
MODERATE,HIGH,Mod_High,3,B,17,4/12/2023,7,"20,783.33",0.05,5.28
MODERATE,HIGH,Mod_High,3,C,18,4/12/2023,7,"20,783.33",0.05,5.34
HIGH,LOW,High_Low,3,A,19,4/12/2023,7,"41,874.00",0.11,10.65
HIGH,LOW,High_Low,3,B,20,4/12/2023,7,"34,916.00",0.09,8.86
HIGH,LOW,High_Low,3,C,21,4/12/2023,7,"41,209.33",0.10,10.45
HIGH,MODERATE,High_Mod,3,A,22,4/12/2023,7,"41,209.33",0.10,10.48
HIGH,MODERATE,High_Mod,3,B,23,4/12/2023,7,"66,506.67",0.17,16.93
HIGH,MODERATE,High_Mod,3,C,24,4/12/2023,7,"39,072.67",0.10,9.95
HIGH,HIGH,High_High,3,A,25,4/12/2023,7,"22,446.00",0.06,5.72
HIGH,HIGH,High_High,3,B,26,4/12/2023,7,"39,904.00",0.10,10.18
HIGH,HIGH,High_High,3,C,27,4/12/2023,7,"32,409.00",0.08,8.23
LOW,LOW,Low_Low,3,A,1,4/17/2023,12,12173,0.03,3.04
LOW,LOW,Low_Low,3,B,2,4/17/2023,12,21249,0.05,5.32
LOW,LOW,Low_Low,3,C,3,4/17/2023,12,15899.56,0.04,3.98
MODERATE,LOW,Mod_Low,3,A,4,4/17/2023,12,14428.33,0.04,3.61
MODERATE,LOW,Mod_Low,3,B,5,4/17/2023,12,25446.33,0.06,6.37
MODERATE,LOW,Mod_Low,3,C,6,4/17/2023,12,14244,0.04,3.56
LOW,MODERATE,Low_Mod,3,A,7,4/17/2023,12,10354.26,0.03,2.59
LOW,MODERATE,Low_Mod,3,B,8,4/17/2023,12,16121,0.04,4.03
LOW,MODERATE,Low_Mod,3,C,9,4/17/2023,12,21056,0.05,5.27
MODERATE,MODERATE,Mod_Mod,3,A,10,4/17/2023,12,11805,0.03,2.95
MODERATE,MODERATE,Mod_Mod,3,B,11,4/17/2023,12,16618,0.04,4.16
MODERATE,MODERATE,Mod_Mod,3,C,12,4/17/2023,12,15463,0.04,3.87
LOW,HIGH,Low_High,3,A,13,4/17/2023,12,17212,0.04,4.3
LOW,HIGH,Low_High,3,B,14,4/17/2023,12,10613.33,0.03,2.65
LOW,HIGH,Low_High,3,C,15,4/17/2023,12,20242,0.05,5.06
MODERATE,HIGH,Mod_High,3,A,16,4/17/2023,12,8704.67,0.02,2.18
MODERATE,HIGH,Mod_High,3,B,17,4/17/2023,12,15035.33,0.04,3.76
MODERATE,HIGH,Mod_High,3,C,18,4/17/2023,12,10199,0.03,2.55
HIGH,LOW,High_Low,3,A,19,4/17/2023,12,19783.33,0.05,4.95
HIGH,LOW,High_Low,3,B,20,4/17/2023,12,22157.33,0.06,5.54
HIGH,LOW,High_Low,3,C,21,4/17/2023,12,25708.67,0.06,6.43
HIGH,MODERATE,High_Mod,3,A,22,4/17/2023,12,30597,0.08,7.66
HIGH,MODERATE,High_Mod,3,B,23,4/17/2023,12,21385,0.05,5.35
HIGH,MODERATE,High_Mod,3,C,24,4/17/2023,12,28294,0.07,7.08
HIGH,HIGH,High_High,3,A,25,4/17/2023,12,17805,0.04,4.45
HIGH,HIGH,High_High,3,B,26,4/17/2023,12,13641.33,0.03,3.41
HIGH,HIGH,High_High,3,C,27,4/17/2023,12,13057,0.03,3.27
LOW,LOW,Low_Low,3,A,1,4/21/2023,16,"6,629.00",0.02,1.66
LOW,LOW,Low_Low,3,B,2,4/21/2023,16,"13,990.00",0.04,3.5
LOW,LOW,Low_Low,3,C,3,4/21/2023,16,"10,684.00",0.03,2.67
MODERATE,LOW,Mod_Low,3,A,4,4/21/2023,16,"6,875.00",0.02,1.72
MODERATE,LOW,Mod_Low,3,B,5,4/21/2023,16,"13,752.00",0.03,3.44
MODERATE,LOW,Mod_Low,3,C,6,4/21/2023,16,"7,364.00",0.02,1.84
LOW,MODERATE,Low_Mod,3,A,7,4/21/2023,16,"7,772.00",0.02,1.94
LOW,MODERATE,Low_Mod,3,B,8,4/21/2023,16,"11,659.00",0.03,2.92
LOW,MODERATE,Low_Mod,3,C,9,4/21/2023,16,"15,559.00",0.04,3.89
MODERATE,MODERATE,Mod_Mod,3,A,10,4/21/2023,16,"7,364.00",0.02,1.84
MODERATE,MODERATE,Mod_Mod,3,B,11,4/21/2023,16,"10,456.00",0.03,2.61
MODERATE,MODERATE,Mod_Mod,3,C,12,4/21/2023,16,"8,669.00",0.02,2.17
LOW,HIGH,Low_High,3,A,13,4/21/2023,16,"7,717.00",0.02,1.93
LOW,HIGH,Low_High,3,B,14,4/21/2023,16,"2,782.00",0.01,0.7
LOW,HIGH,Low_High,3,C,15,4/21/2023,16,"14,350.00",0.04,3.59
MODERATE,HIGH,Mod_High,3,A,16,4/21/2023,16,"6,154.00",0.02,1.54
MODERATE,HIGH,Mod_High,3,B,17,4/21/2023,16,"5,725.00",0.01,1.43
MODERATE,HIGH,Mod_High,3,C,18,4/21/2023,16,"6,280.00",0.02,1.57
HIGH,LOW,High_Low,3,A,19,4/21/2023,16,"14,051.00",0.04,3.51
HIGH,LOW,High_Low,3,B,20,4/21/2023,16,"17,639.00",0.04,4.41
HIGH,LOW,High_Low,3,C,21,4/21/2023,16,"13,693.00",0.03,3.42
HIGH,MODERATE,High_Mod,3,A,22,4/21/2023,16,"20,031.00",0.05,5.01
HIGH,MODERATE,High_Mod,3,B,23,4/21/2023,16,"8,218.00",0.02,2.05
HIGH,MODERATE,High_Mod,3,C,24,4/21/2023,16,"14,440.00",0.04,3.61
HIGH,HIGH,High_High,3,A,25,4/21/2023,16,"16,432.00",0.04,4.11
HIGH,HIGH,High_High,3,B,26,4/21/2023,16,"13,717.00",0.03,3.43
HIGH,HIGH,High_High,3,C,27,4/21/2023,16,"11,142.00",0.03,2.79
