Parent,Treatment,Rep,ID,Generation,Year,Run ,Length,Survival ,Normal,Lethal.Deformities,dead,Percent.deformed,total individuals
LOW,Moderate OA,B,11,2,2022,3,,,48,11,,0.186,59
LOW,Moderate OA,C,12,2,2022,3,,,45,4,,0.082,49
MODERATE,Moderate OA,A,13,2,2022,3,,,16,3,,0.158,19
MODERATE,Moderate OA,B,14,2,2022,3,,,14,8,,0.364,22
MODERATE,Moderate OA,C,15,2,2022,3,,,20,7,,0.259,27
HIGH,Moderate OA,A,16,2,2022,3,,,17,0,,0,17
HIGH,Moderate OA,B,17,2,2022,3,,,19,5,,0.208,24
HIGH,Moderate OA,C,18,2,2022,3,,,14,8,,0.364,22
LOW,High OA,A,19,2,2022,3,,,3,27,,0.9,30
LOW,High OA,B,20,2,2022,3,,,3,29,,0.906,32
LOW,High OA,C,21,2,2022,3,,,2,64,,0.97,66
MODERATE,High OA,A,22,2,2022,3,,,2,30,,0.938,32
MODERATE,High OA,B,23,2,2022,3,,,1,42,,0.977,43
MODERATE,High OA,C,24,2,2022,3,,,1,15,,0.938,16
HIGH,High OA,A,25,2,2022,3,,,1,24,,0.96,25
HIGH,High OA,B,26,2,2022,3,,,1,22,,0.957,23
HIGH,High OA,C,27,2,2022,3,,,1,36,,0.973,37
LOW,Low OA,A,1,2,2022,4,,,54,4,4,0.069,62
LOW,Low OA,B,2,2,2022,4,,,28,2,1,0.067,31
lOW,Low OA,C,3,2,2022,4,,,44,7,4,0.137,55
MODERATE,Moderate OA,A,10,2,2022,4,,,41,10,2,0.196,53
MODERATE,Moderate OA,B,11,2,2022,4,,,63,3,6,0.045,72
MODERATE,Moderate OA,C,12,2,2022,4,,,48,4,2,0.077,54
LOW,Low OA,A,1,3,2023,6,,,44,11,1,0.2,56
LOW,Low OA,B,2,3,2023,6,,,14,2,0,0.125,16
LOW,Low OA,C,3,3,2023,6,,,63,27,9,0.3,99
MODERATE,Low OA,A,4,3,2023,6,,,41,20,1,0.328,62
MODERATE,Low OA,B,5,3,2023,6,,,37,6,0,0.14,43
MODERATE,Low OA,C,6,3,2023,6,,,31,19,0,0.38,50
LOW,Moderate OA,A,7,3,2023,6,,,17,15,0,0.469,32
LOW,Moderate OA,B,8,3,2023,6,,,33,15,0,0.313,48
LOW,Moderate OA,C,9,3,2023,6,,,20,15,1,0.429,36
MODERATE,Moderate OA,A,10,3,2023,6,,,17,7,0,0.292,24
MODERATE,Moderate OA,B,11,3,2023,6,,,12,23,0,0.657,35
MODERATE,Moderate OA,C,12,3,2023,6,,,18,21,0,0.538,39
LOW,High OA,A,13,3,2023,6,,,,,,,0
LOW,High OA,B,14,3,2023,6,,,41,30,1,0.423,72
LOW,High OA,C,15,3,2023,6,,,6,21,0,0.778,27
MODERATE,High OA,A,16,3,2023,6,,,42,34,2,0.447,78
MODERATE,High OA,B,17,3,2023,6,,,22,38,2,0.633,62
MODERATE,High OA,C,18,3,2023,6,,,48,52,3,0.52,103
HIGH,Low OA,A,19,3,2023,6,,,32,23,2,0.418,57
HIGH,Low OA,B,20,3,2023,6,,,20,21,1,0.512,42
HIGH,Low OA,C,21,3,2023,6,,,35,24,1,0.407,60
HIGH,Moderate OA,A,22,3,2023,6,,,12,10,1,0.455,23
HIGH,Moderate OA,B,23,3,2023,6,,,29,17,0,0.37,46
HIGH,Moderate OA,C,24,3,2023,6,,,15,14,0,0.483,29
HIGH,High OA,A,25,3,2023,6,,,39,29,0,0.426,68
HIGH,High OA,B,26,3,2023,6,,,51,28,0,0.354,79
HIGH,High OA,C,27,3,2023,6,,,28,30,0,0.517,58
