Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
2/2/2022/3:14:37 PM	603	1	M600	14.0	-6.335	0.584	100.25	97.77	99.10	13.36	4.7	-14.758	0.905	100.07	96.81	98.46	13.36	176.4	-7.926	0.383	100.72	96.96	98.80	13.36	11.2	-11.615	0.838	99.80	96.89	98.15	13.36	11.2	-13.179	0.690	99.33	95.71	97.61	13.00	8.3	-9.748	0.742	100.15	97.68	98.90	13.00	0.5	-0.754	0.004	101.75	99.46	100.59	13.00	61.9	-3.471	0.276	100.58	99.00	99.79	13.00	13.36	20.00	0.10	13.00	20.00	0.10
2/2/2022/3:24:37 PM	1203	2	M600	20.5	-11.261	0.739	98.86	95.84	97.14	13.42	4.8	-16.705	0.894	97.24	93.38	94.81	13.42	96.5	-5.060	0.152	99.59	95.90	97.71	13.42	4.4	-5.078	0.518	97.83	95.70	96.82	13.42	6.1	-7.239	0.392	97.10	94.19	95.78	13.01	6.3	-7.480	0.646	98.53	96.42	97.47	13.01	6.4	-7.513	0.426	101.38	98.16	99.78	13.01	32.6	-1.868	0.101	100.08	98.47	99.36	13.01	13.42	20.00	0.10	13.01	20.00	0.10
2/2/2022/3:34:37 PM	1803	3	M600	6.3	-3.056	0.232	97.28	95.20	96.28	13.43	8.2	-28.042	0.942	94.44	89.80	92.12	13.43	103.7	-5.033	0.187	98.82	95.56	97.02	13.43	2.7	-2.663	0.287	97.09	95.48	96.24	13.43	14.2	-15.957	0.682	96.11	91.52	94.29	13.00	2.5	-2.474	0.241	97.45	95.97	96.71	13.00	8.2	-8.965	0.596	99.93	96.70	98.25	13.00	38.0	-1.518	0.157	99.74	98.40	99.13	13.00	13.43	20.00	0.10	13.00	20.00	0.10
2/2/2022/3:44:37 PM	2403	4	M600	19.5	-10.125	0.691	96.74	93.95	95.38	13.43	5.0	-16.799	0.887	90.59	87.36	88.86	13.43	182.6	-9.019	0.384	97.93	93.70	95.93	13.43	2.5	-2.310	0.219	96.64	95.11	95.91	13.43	2.8	-3.495	0.125	93.16	90.41	91.79	12.99	10.5	-12.328	0.704	97.01	93.82	95.89	12.99	3.8	-4.654	0.232	98.35	95.94	97.14	12.99	10.5	-0.812	0.013	99.74	98.32	98.94	12.99	13.43	20.00	0.10	12.99	20.00	0.10
2/2/2022/3:54:37 PM	3003	5	M600	16.4	-8.458	0.612	95.09	92.55	93.60	13.46	1.2	-3.481	0.371	88.47	86.95	87.60	13.46	236.6	-11.922	0.570	96.21	92.03	94.11	13.46	1.9	-1.618	0.140	96.37	94.89	95.65	13.46	9.1	-10.416	0.601	92.38	88.85	90.55	13.01	5.0	-5.597	0.525	94.66	92.41	93.40	13.01	6.7	-7.585	0.442	97.59	94.57	96.15	13.01	23.1	-1.089	0.057	99.48	97.96	98.76	13.01	13.46	20.00	0.10	13.01	20.00	0.10
2/2/2022/4:04:37 PM	3603	6	M600	0.7	-3.169	0.003	93.49	91.84	92.69	13.41	2.9	-12.527	0.746	87.68	85.25	86.71	13.41	138.1	-10.073	0.305	94.16	90.41	92.28	13.41	-3.7	1.400	0.306	96.37	94.97	95.55	13.41	10.5	-11.745	0.629	90.76	86.67	88.87	13.01	14.0	-15.845	0.893	93.55	90.35	92.16	13.01	8.4	-9.354	0.536	96.77	92.90	94.69	13.01	40.0	-1.752	0.131	99.44	97.89	98.62	13.01	13.41	20.00	0.10	13.01	20.00	0.10
2/2/2022/4:14:37 PM	4203	7	M600	10.0	-5.687	0.472	92.92	90.60	91.76	13.37	0.2	-0.832	0.023	85.42	84.45	84.94	13.37	222.2	-11.923	0.606	92.03	88.11	90.24	13.37	0.6	-0.943	0.022	96.08	94.82	95.47	13.37	32.0	-37.051	0.876	88.30	80.79	83.72	12.98	17.7	-20.582	0.892	91.22	86.85	88.88	12.98	8.5	-9.984	0.562	94.82	91.44	93.12	12.98	28.2	-1.630	0.074	99.23	97.71	98.35	12.98	13.37	20.00	0.10	12.98	20.00	0.10
2/2/2022/4:24:37 PM	4803	8	M600	19.2	-10.423	0.768	91.67	88.67	89.80	13.37	5.2	-17.939	0.965	85.12	82.03	83.60	13.37	241.8	-12.604	0.644	90.12	86.05	88.19	13.37	1.3	-1.374	0.103	96.02	94.70	95.29	13.37	NaN	NaN	0.000	82.93	80.60	NaN	12.98	6.3	-7.487	0.569	87.59	85.43	86.61	12.98	10.2	-12.032	0.654	92.81	89.28	91.27	12.98	16.9	-1.137	0.023	98.84	97.44	98.09	12.98	13.37	20.00	0.10	12.98	20.00	0.10
2/2/2022/4:34:37 PM	5403	9	M600	16.3	-9.043	0.755	89.63	87.24	88.51	13.31	NaN	NaN	0.000	82.56	80.73	NaN	13.31	356.5	-18.873	0.749	87.86	82.62	84.51	13.31	1.4	-1.711	0.160	95.48	94.24	94.88	13.31	NaN	NaN	0.000	0.00	0.00	NaN	12.99	5.9	-6.511	0.700	86.19	84.18	85.29	12.99	9.5	-10.618	0.641	91.05	87.66	89.28	12.99	50.0	-2.283	0.194	98.55	96.85	97.80	12.99	13.31	20.00	0.10	12.99	20.00	0.10
2/2/2022/4:44:37 PM	6003	10	M600	12.3	-6.600	0.611	88.17	86.14	87.06	13.32	NaN	NaN	0.000	0.00	0.00	NaN	13.32	209.2	-10.845	0.732	83.89	80.99	82.35	13.32	1.2	-1.153	0.081	95.33	94.17	94.69	13.32	NaN	NaN	0.000	0.00	0.00	NaN	12.98	11.6	-13.132	0.899	85.17	82.28	83.71	12.98	8.5	-9.541	0.638	89.20	86.26	87.60	12.98	34.6	-1.529	0.099	98.33	96.84	97.57	12.98	13.32	20.00	0.10	12.98	20.00	0.10
2/2/2022/4:54:37 PM	6603	11	M600	13.2	-7.975	0.617	87.00	84.75	85.82	13.34	NaN	NaN	0.000	0.00	0.00	NaN	13.34	NaN	NaN	0.000	82.03	80.42	NaN	13.34	0.6	-1.493	0.033	94.95	93.77	94.46	13.34	NaN	NaN	0.000	0.00	0.00	NaN	12.97	NaN	NaN	0.000	83.20	81.72	NaN	12.97	7.6	-9.064	0.562	87.63	84.52	86.01	12.97	-6.8	-0.022	0.004	98.21	96.75	97.43	12.97	13.34	20.00	0.10	12.97	20.00	0.10
2/2/2022/5:04:37 PM	7203	12	M600	NaN	NaN	0.000	85.70	84.34	NaN	13.31	NaN	NaN	0.000	0.00	0.00	NaN	13.31	NaN	NaN	0.000	0.00	0.00	NaN	13.31	NaN	NaN	0.000	95.74	93.68	NaN	13.31	NaN	NaN	0.000	0.00	0.00	NaN	12.98	NaN	NaN	0.000	0.00	0.00	NaN	12.98	NaN	NaN	0.000	85.83	83.35	NaN	12.98	NaN	NaN	0.000	98.01	96.53	NaN	12.98	13.31	20.00	0.10	12.98	20.00	0.10
2/2/2022/5:14:37 PM	7803	13	M600	NaN	NaN	0.000	0.00	0.00	NaN	13.27	NaN	NaN	0.000	0.00	0.00	NaN	13.27	NaN	NaN	0.000	0.00	0.00	NaN	13.27	NaN	NaN	0.000	0.00	0.00	NaN	13.27	NaN	NaN	0.000	0.00	0.00	NaN	12.97	NaN	NaN	0.000	0.00	0.00	NaN	12.97	NaN	NaN	0.000	0.00	0.00	NaN	12.97	NaN	NaN	0.000	0.00	0.00	NaN	12.97	13.27	20.00	0.10	12.97	20.00	0.10
