"","Age_DPF","pCO2","Replicate","N","Length_mm","sd","se","ci"
"41",85,"800 μatm","C",106,14.2657547169811,4.11427247474035,0.399613468860094,0.792359689670016
"42",85,"1200 μatm","C",106,14.3281132075472,4.59599952613192,0.446402936313262,0.885134560388894
"43",85,"500 μatm","C",111,14.4263063063063,5.72816818695565,0.543693663566405,1.07747322657126
"44",85,"500 μatm","B",104,14.5696153846154,5.99856810148143,0.588207996212866,1.16657182855802
"45",85,"1200 μatm","A",105,14.7507619047619,4.61639317567091,0.450513843689635,0.89338585823697
"46",85,"800 μatm","D",109,15.1093577981651,5.12760905137649,0.491135872974629,0.973516504111502
"47",85,"800 μatm","B",95,15.1573684210526,5.27179532795453,0.540874788310501,1.07391957130514
"48",85,"500 μatm","A",105,15.6544761904762,4.66351468252639,0.455112431887406,0.902505031201994
"49",111,"1200 μatm","B",110,18.9374545454545,6.27417766626218,0.598219368306121,1.18565133971343
"50",111,"1200 μatm","D",85,18.9792941176471,6.1173534948957,0.66352014714314,1.31948257884199
"51",111,"800 μatm","A",77,19.2781818181818,6.4752672627778,0.73792518999638,1.46970538888263
"52",111,"500 μatm","D",74,20.1362162162162,6.68354423708323,0.776946236000787,1.54845161532051
"53",111,"1200 μatm","A",69,20.7066666666667,6.3755402693019,0.767524854202584,1.53157200066148
"54",111,"500 μatm","C",72,20.8165277777778,7.07650887901022,0.833974569245823,1.66289806129962
"55",111,"500 μatm","B",66,21.1137878787879,7.57276532463569,0.932142974645997,1.86161807070681
"56",111,"1200 μatm","C",73,21.202602739726,5.88749263443683,0.689078892043256,1.37365366584396
"57",111,"800 μatm","D",79,21.2387341772152,6.0365764127862,0.679167908504117,1.35211943987639
"58",111,"800 μatm","C",79,21.526582278481,4.99450849358597,0.561926107720584,1.11870894444429
"59",164,"1200 μatm","B",109,21.5314678899083,7.01758358032377,0.672162601197046,1.33234288456393
"60",111,"500 μatm","A",73,21.633698630137,6.00297322324745,0.702594872636535,1.40059728072437
"61",111,"800 μatm","B",65,21.7261538461538,6.78674044836411,0.841791550238688,1.68167194266589
"62",164,"1200 μatm","D",83,21.990843373494,6.35736718876061,0.697811704957046,1.38816977405816
"63",164,"800 μatm","A",82,22.1557317073171,6.63531368735492,0.732747816479921,1.45793830899301
"64",164,"500 μatm","D",73,22.8106849315068,6.34153511225071,0.742220544522366,1.47958961393327
"65",164,"500 μatm","C",76,23.0689473684211,7.47201080993996,0.857098421725573,1.70742761211144
"66",164,"1200 μatm","A",78,23.5746153846154,6.57879349699653,0.744901678902899,1.48328874224758
"67",164,"800 μatm","D",81,23.7551851851852,6.0017408122792,0.666860090253244,1.32709387270742
"68",164,"1200 μatm","C",75,23.8477333333333,6.29403440704904,0.726772491839705,1.44812580109164
"69",164,"500 μatm","A",76,24.7764473684211,5.50116586526829,0.631027002062104,1.25707025004149
"70",164,"800 μatm","C",77,24.861038961039,4.69070093079342,0.534554982072979,1.06465851614385
"71",164,"800 μatm","B",62,25.5433870967742,6.31434846490311,0.801923056966153,1.60354425806076
"72",164,"500 μatm","B",65,25.5584615384615,6.57497533996545,0.815525321223206,1.62919911805456
"73",195,"1200 μatm","D",30,27.4526666666667,7.4932544070781,1.36807482262723,2.79802717989264
"74",195,"1200 μatm","B",22,27.6677272727273,8.46948524427726,1.80570032124318,3.75515938748655
"75",195,"800 μatm","A",30,28.2666666666667,9.1009030750585,1.66158996929256,3.39833305826751
"76",195,"1200 μatm","C",30,29.6723333333333,8.38985951274979,1.53177176981079,3.13282502859909
"77",195,"1200 μatm","A",40,31.45175,8.55842361698066,1.35320559051177,2.73711666087114
"78",195,"500 μatm","D",30,32.313,7.16236820303607,1.3076635433202,2.67447224073475
"79",195,"500 μatm","A",30,33.7463333333333,6.97221158369538,1.27294585336293,2.60346659212777
"80",195,"500 μatm","C",29,33.7513793103448,9.68717662101293,1.79886353861983,3.68480491962392
"81",195,"800 μatm","D",33,33.8721212121212,6.35540211039778,1.10633350203394,2.25352759927992
"82",195,"500 μatm","G",37,34.1481081081081,8.13143449072037,1.33679959561428,2.71115524037842
"83",195,"800 μatm","B",28,34.2107142857143,7.98544737890557,1.50910770515548,3.09643324209354
"84",219,"1200 μatm","D",33,34.2948484848485,8.78220114820742,1.52878499001139,3.11403312113551
"85",195,"800 μatm","C",31,34.5854838709677,6.359928112125,1.14227680944679,2.33284046540483
"86",195,"500 μatm","B",30,35.0383333333333,8.33542133611581,1.52183276403349,3.11249747937005
"87",195,"1200 μatm","E",36,35.2255555555556,5.68953949652691,0.948256582754485,1.92506320666546
"88",219,"800 μatm","A",29,35.8789655172414,8.43437454062989,1.56622403263418,3.20826449409921
"89",195,"1200 μatm","F",37,35.8954054054054,5.36529671675844,0.882049346827845,1.78887898887028
"90",195,"500 μatm","E",37,36.1689189189189,6.55034595514864,1.07687024152618,2.18399407667361
"91",195,"1200 μatm","G",37,36.4945945945946,6.77787314829766,1.11427548166431,2.25985541980299
"92",195,"500 μatm","F",37,36.6032432432432,5.4814232002556,0.901140423114111,1.82759748615871
"93",195,"800 μatm","E",37,36.8348648648649,4.47401858985212,0.735524125357031,1.49171206621299
"94",219,"1200 μatm","C",31,37.001935483871,8.09046863881808,1.45309106341307,2.96760785530599
"95",219,"1200 μatm","A",30,37.0043333333333,7.57620261687569,1.38321902449749,2.82900055046416
"96",195,"800 μatm","G",37,37.0475675675676,5.25828679609909,0.864457024239822,1.7532001049662
"97",219,"1200 μatm","B",31,37.07,7.5312601867151,1.35265426047719,2.76248853907109
"98",195,"800 μatm","F",38,37.2344736842105,4.22355409281856,0.685150947159676,1.38824768517219
"99",219,"500 μatm","D",32,38.2396875,7.91077276286237,1.39844026626146,2.85213772702241
"100",219,"500 μatm","A",31,38.7832258064516,7.52843471428901,1.35214679064873,2.76145214741803
"101",219,"500 μatm","C",32,38.8778125,10.0453409949909,1.77578218422232,3.62173164259261
"102",219,"800 μatm","D",32,39.631875,6.13382395989384,1.08431712916136,2.21147936508255
"103",219,"800 μatm","B",32,39.6953125,7.17104841589182,1.26767424077354,2.58543865970799
"104",219,"1200 μatm","E",33,39.8363636363636,5.33197537162695,0.928177774306331,1.89063625714315
"105",219,"500 μatm","B",30,39.8516666666667,8.48461369422497,1.54907143734809,3.16820682144542
"106",219,"800 μatm","C",32,39.8934375,6.46668215741272,1.14315870132115,2.33148754270953
"107",219,"1200 μatm","F",32,39.965625,5.79924685738616,1.02517169465813,2.09085145612025
"108",219,"500 μatm","E",32,40.2225,6.23108803215908,1.10151115042751,2.24654680265248
"109",219,"500 μatm","F",32,41.1909375,5.83212701716576,1.0309841406448,2.10270601786651
"110",219,"800 μatm","E",31,41.5864516129032,4.00380198343782,0.719104064490751,1.46860642412373
"111",219,"800 μatm","F",32,41.7946875,3.13295386164456,0.553833230178362,1.12955032000993
