Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_mg,Dry_Shell_Tin_Weight_mg,Dry_Shell_weight_mg,Tissue_Tin_ID,Tissue_Tin_Weight_mg,Dry_Tissue_Tin_Weight_mg,Dry_Tissue_weight_mg,Whole_animal_dry_weight_mg,Condition_index_drywtRatio_Walne1976,notes
12/2/2021,7.5,A,7.5_A,5.6,50,5B2,1.2535,1.2605,0.007,5B2,0.4126,0.4143,0.0017,0.0087,24.28571429,
12/2/2021,7.5,D,7.5_D,20.8,51,5B3,1.2623,1.8023,0.54,5B3,0.4149,0.4821,0.0672,0.6072,12.44444444,
12/2/2021,7.5,D,7.5_D,18.9,52,5B4,1.2761,1.607,0.3309,5B4,0.4155,0.4649,0.0494,0.3803,14.92898157,
12/2/2021,7.5,D,7.5_D,17.2,53,5B5,1.2661,1.5631,0.297,5B5,0.4222,0.4549,0.0327,0.3297,11.01010101,
12/2/2021,7.5,D,7.5_D,11.1,54,5B6,1.2715,1.3506,0.0791,5B6,0.4126,0.4222,0.0096,0.0887,12.13653603,
12/2/2021,7.5,D,7.5_D,12.1,55,5B7,1.2713,1.366,0.0947,5B7,0.4093,0.4232,0.0139,0.1086,14.67793031,
12/2/2021,7.5,D,7.5_D,11.6,56,5B8,1.2583,1.3434,0.0851,5B8,0.4143,0.4227,0.0084,0.0935,9.870740306,
12/2/2021,7.5,D,7.5_D,10.1,57,5B9,1.2698,1.3343,0.0645,5B9,0.4108,0.4195,0.0087,0.0732,13.48837209,
12/2/2021,7.5,D,7.5_D,5.3,58,5B10,1.2835,1.2913,0.0078,5B10,0.4103,0.4103,0,0.0078,0,zero
12/2/2021,7.5,D,7.5_D,5,59,5B11,1.2604,1.2678,0.0074,5B11,0.4154,0.4156,0.0002,0.0076,2.702702703,
12/2/2021,7.5,D,7.5_D,5.3,60,5B12,1.2715,1.2781,0.0066,5B12,0.4098,0.41,0.0002,0.0068,3.03030303,
12/2/2021,7.5,B,7.5_B,19.9,63,5C3,1.2687,1.7073,0.4386,5C3,0.4116,0.4725,0.0609,0.4995,13.88508892,
12/2/2021,7.5,B,7.5_B,19.7,64,5C4,1.2883,1.783,0.4947,5C4,0.4073,0.4677,0.0604,0.5551,12.20941985,
12/2/2021,7.5,B,7.5_B,11.3,65,5C5,1.273,1.361,0.088,5C5,0.4103,0.423,0.0127,0.1007,14.43181818,
12/2/2021,7.5,B,7.5_B,13,66,5C6,1.2778,1.4138,0.136,5C6,0.4149,0.4306,0.0157,0.1517,11.54411765,
12/2/2021,7.5,B,7.5_B,11.3,67,5C7,1.2646,1.3642,0.0996,5C7,0.4176,0.4297,0.0121,0.1117,12.14859438,
12/2/2021,7.5,B,7.5_B,11.3,68,5C8,1.2668,1.3404,0.0736,5C8,0.4175,0.427,0.0095,0.0831,12.9076087,
12/2/2021,7.5,B,7.5_B,5.5,69,5C9,1.2638,1.2716,0.0078,5C9,0.4164,0.4168,0.0004,0.0082,5.128205128,
12/2/2021,7.5,B,7.5_B,5.5,70,5C10,1.2725,1.2833,0.0108,5C10,0.4146,0.4154,0.0008,0.0116,7.407407407,
12/2/2021,7.5,B,7.5_B,5.5,71,5C11,1.2659,1.276,0.0101,5C11,0.4123,0.4133,0.001,0.0111,9.900990099,
12/2/2021,7.5,B,7.5_B,16.8,72,5C12,1.2658,1.532,0.2662,5C12,0.4156,0.4485,0.0329,0.2991,12.35912847,
12/2/2021,8,C,8_C,18.6,1,4A1,1.1858,1.608,0.4222,4A1,0.4128,0.4648,0.052,0.4742,12.31643771,
12/2/2021,8,C,8_C,18.1,2,4A2,1.1737,1.55,0.3763,4A2,0.4156,0.4543,0.0387,0.415,10.2843476,
12/2/2021,8,C,8_C,14.1,3,4A3,1.1745,1.3455,0.171,4A3,0.4193,0.4416,0.0223,0.1933,13.04093567,
12/2/2021,8,C,8_C,11.5,4,4A4,1.1805,1.2877,0.1072,4A4,0.4112,0.4242,0.013,0.1202,12.12686567,
12/2/2021,8,C,8_C,10.6,5,4A5,1.188,1.2674,0.0794,4A5,0.4114,0.4212,0.0098,0.0892,12.34256927,
12/2/2021,8,C,8_C,11,6,4A6,1.1643,1.265,0.1007,4A6,0.4175,0.4256,0.0081,0.1088,8.043694141,
12/2/2021,8,C,8_C,10.4,7,4A7,1.1717,1.2394,0.0677,4A7,0.4092,0.4153,0.0061,0.0738,9.010339734,
12/2/2021,8,C,8_C,5.8,8,4A8,1.1813,1.1963,0.015,4A8,0.4206,0.4219,0.0013,0.0163,8.666666667,
12/2/2021,8,C,8_C,5.1,9,4A9,1.1833,1.1922,0.0089,4A9,0.4131,0.4138,0.0007,0.0096,7.865168539,
12/2/2021,8,C,8_C,5.5,10,4A10,1.1695,1.1802,0.0107,4A10,0.4205,0.4216,0.0011,0.0118,10.28037383,
12/2/2021,8,B,8_B,3.6,11,4A11,1.1822,1.1849,0.0027,4A11,0.4136,0.4129,-0.0007,0.002,-25.92592593,negative 
12/2/2021,8,B,8_B,4.8,13,4B1,1.183,1.1902,0.0072,4B1,0.4179,0.4187,0.0008,0.008,11.11111111,
12/2/2021,8,B,8_B,4.8,14,4B2,1.1857,1.1931,0.0074,4B2,0.4137,0.4136,-1E-04,0.0073,-1.351351351,negative - labeled 'not good' by Genevieve
12/2/2021,8,B,8_B,14.2,16,4B4,1.182,1.3758,0.1938,4B4,0.4145,0.4398,0.0253,0.2191,13.05469556,
12/2/2021,8,B,8_B,10.7,17,4B5,1.171,1.252,0.081,4B5,0.4132,0.4235,0.0103,0.0913,12.71604938,
12/2/2021,8,B,8_B,10.7,18,4B6,1.1834,1.2512,0.0678,4B6,0.4087,0.4181,0.0094,0.0772,13.86430678,
12/2/2021,8,B,8_B,9.8,19,4B7,1.1695,1.2235,0.054,4B7,0.4191,0.43,0.0109,0.0649,20.18518519,
12/2/2021,8,B,8_B,7.9,22,4B10,1.1686,1.2026,0.034,4B10,0.4182,0.4226,0.0044,0.0384,12.94117647,
12/2/2021,8,B,8_B,20.7,23,4B11,1.1855,1.7206,0.5351,4B11,0.4074,0.4772,0.0698,0.6049,13.04429079,
12/2/2021,8,B,8_B,19,24,4B12,1.1829,1.5537,0.3708,4B12,0.4122,0.4747,0.0625,0.4333,16.85544768,
12/2/2021,8,A,8_A,21.9,31,4C7,1.2648,1.8794,0.6146,4C7,0.411,0.4901,0.0791,0.6937,12.87015945,
12/2/2021,8,A,8_A,20.2,32,4C8,1.2713,1.7561,0.4848,4C8,0.4157,0.4797,0.064,0.5488,13.20132013,
12/2/2021,8,A,8_A,15,33,4C9,1.2677,1.4725,0.2048,4C9,0.4105,0.4392,0.0287,0.2335,14.01367188,
12/2/2021,8,A,8_A,10.2,34,4C10,1.287,1.355,0.068,4C10,0.4133,0.4227,0.0094,0.0774,13.82352941,
12/2/2021,8,A,8_A,10.9,35,4C11,1.2904,1.365,0.0746,4C11,0.4162,0.4267,0.0105,0.0851,14.07506702,
12/2/2021,8,A,8_A,10.9,36,4C12,1.2652,1.3334,0.0682,4C12,0.4177,0.428,0.0103,0.0785,15.1026393,
12/2/2021,8,A,8_A,12.3,37,5A1,1.1803,1.3144,0.1341,5A1,0.414,0.4303,0.0163,0.1504,12.15510813,
12/2/2021,8,A,8_A,5.4,38,5A2,1.2752,1.2856,0.0104,5A2,0.4105,0.4116,0.0011,0.0115,10.57692308,
12/2/2021,8,A,8_A,5.8,39,5A3,1.2735,1.2849,0.0114,5A3,0.4136,0.4142,0.0006,0.012,5.263157895,
12/2/2021,8,A,8_A,3.9,40,5A4,1.2706,1.275,0.0044,5A4,0.4126,0.4127,1E-04,0.0045,2.272727273,
12/2/2021,8,D,8_D,21.1,61,5C1,1.295,1.7794,0.4844,5C1,0.4142,0.4787,0.0645,0.5489,13.31544178,
12/2/2021,8,D,8_D,18.9,62,5C2,1.2826,1.6073,0.3247,5C2,0.4135,0.4613,0.0478,0.3725,14.72128118,
12/2/2021,8,D,8_D,18.5,73,6A1,1.2778,1.6297,0.3519,6A1,0.4155,0.4676,0.0521,0.404,14.80534243,
12/2/2021,8,D,8_D,14.3,74,6A2,1.2699,1.4152,0.1453,6A2,0.4138,0.4347,0.0209,0.1662,14.38403304,
12/2/2021,8,D,8_D,13.3,75,6A3,1.2744,1.4201,0.1457,6A3,0.4147,0.4322,0.0175,0.1632,12.01098147,
12/2/2021,8,D,8_D,11.2,76,6A4,1.2704,1.3673,0.0969,6A4,0.4168,0.4289,0.0121,0.109,12.4871001,
12/2/2021,8,D,8_D,11.1,77,6A5,1.2777,1.3625,0.0848,6A5,0.4109,0.4192,0.0083,0.0931,9.787735849,
12/2/2021,8,D,8_D,5.7,78,6A6,1.2901,1.2853,-0.0048,6A6,0.4119,0.4129,0.001,-0.0038,-20.83333333,negative
12/2/2021,8,D,8_D,5.9,79,6A7,1.2689,1.2836,0.0147,6A7,0.415,0.4164,0.0014,0.0161,9.523809524,
12/2/2021,8,D,8_D,6.7,80,6A8,1.2804,1.2873,0.0069,6A8,0.4131,0.4139,0.0008,0.0077,11.5942029,
