site,species,ID,Timepoint,wetweight_g,pre_biovolume_mL,length_mm,width_mm,thickness_mm,
Q,CvCP,QKC06,post-deployment,66.62,NA,72.90,66.70,23.10,
Q,CvCP,QKC07,post-deployment,NA,NA,91.08,72.01,25.17,
Q,CvCP,QKC09,post-deployment,71.43,NA,81.10,58.60,26.03,
Q,CvCP,QKC10,post-deployment,NA,NA,103.51,68.18,24.44,
Q,CvCP,QKC12,post-deployment,76.72,NA,86.10,57.70,27.20,
Q,CvCP,QKC13,post-deployment,74.70,NA,87.70,59.50,24.90,
Q,CvCP,QKC17,post-deployment,NA,NA,87.96,57.89,22.09,
Q,CvCP,QKC18,post-deployment,72.46,NA,80.80,58.50,25.60,
Q,CvCP,QKC19,post-deployment,83.41,NA,89.70,64.70,25.60,
S,CvCP,STC01,post-deployment,49.81,NA,70.00,52.77,21.29,
S,CvCP,STC02,post-deployment,NA,NA,84.69,63.95,23.84,
S,CvCP,STC04,post-deployment,65.39,NA,92.60,66.18,26.30,
S,CvCP,STC05,post-deployment,NA,NA,91.31,58.45,26.96,
S,CvCP,STC06,post-deployment,70.61,NA,79.76,58.68,24.79,
S,CvCP,STC09,post-deployment,NA,NA,90.90,55.98,24.90,
S,CvCP,STC10,post-deployment,77.25,NA,78.58,67.00,21.78,
S,CvCP,STC11,post-deployment,94.05,NA,97.85,55.99,26.13,
S,CvCP,STC12,post-deployment,82.87,NA,97.01,63.86,22.56,
S,CvCP,STC14,post-deployment,102.49,NA,96.71,64.19,25.42,
S,CvCP,STC15,post-deployment,70.82,NA,77.42,78.16,24.72,
S,CvCP,STC17,post-deployment,NA,NA,83.06,64.64,25.18,
S,CvCP,STC18,post-deployment,68.47,NA,85.53,58.42,24.91,
S,CvCP,STC19,post-deployment,75.26,NA,90.24,57.49,27.29,
S,CvCP,STC20,post-deployment,79.20,NA,88.41,63.44,23.94,
T,CvCP,TBC01,post-deployment,NA,NA,75.40,62.21,22.08,
T,CvCP,TBC03,post-deployment,68.00,NA,86.51,60.90,20.65,
T,CvCP,TBC04,post-deployment,56.49,NA,90.15,61.32,19.53,
T,CvCP,TBC05,post-deployment,72.82,NA,90.74,62.58,22.14,
T,CvCP,TBC06,post-deployment,83.59,NA,92.40,65.66,25.76,
T,CvCP,TBC07,post-deployment,82.26,NA,90.02,63.63,25.33,
T,CvCP,TBC09,post-deployment,71.45,NA,82.85,68.68,23.37,
T,CvCP,TBC10,post-deployment,88.83,NA,87.69,73.00,24.99,
T,CvCP,TBC11,post-deployment,86.85,NA,100.32,63.84,21.33,
T,CvCP,TBC12,post-deployment,87.32,NA,86.55,63.10,22.66,
T,CvCP,TBC13,post-deployment,78.56,NA,82.72,60.15,23.74,
T,CvCP,TBC14,post-deployment,66.22,NA,88.12,54.18,23.76,
T,CvCP,TBC15,post-deployment,62.50,NA,77.46,62.88,22.54,
T,CvCP,TBC16,post-deployment,73.13,NA,86.43,57.26,19.85,
T,CvCP,TBC17,post-deployment,72.30,NA,82.44,56.08,22.56,
T,CvCP,TBC18,post-deployment,NA,NA,94.81,63.82,26.78,
T,CvCP,TBC19,post-deployment,67.12,NA,83.80,61.87,21.53,
T,CvCP,TBC19,post-deployment,NA,NA,93.96,55.72,23.45,
T,CvCP,TBC20,post-deployment,NA,NA,100.26,68.97,27.03,
X,CvCP,XC01,post-deployment,48.25,NA,76.33,47.30,17.26,
X,CvCP,XC03,post-deployment,NA,NA,73.45,57.35,23.72,
X,CvCP,XC05,post-deployment,NA,NA,80.17,66.05,21.03,
X,CvCP,XC07,post-deployment,51.66,NA,76.64,57.09,18.54,
X,CvCP,XC09,post-deployment,NA,NA,89.21,64.46,22.91,
X,CvCP,XC10,post-deployment,55.32,NA,77.80,61.90,23.80,
X,CvCP,XC12,post-deployment,NA,NA,86.13,59.33,23.34,
X,CvCP,XC14,post-deployment,59.31,NA,89.80,56.90,26.20,
X,CvCP,XC15,post-deployment,65.42,NA,81.81,56.41,21.99,
X,CvCP,XC17,post-deployment,NA,NA,86.28,61.26,25.01,
X,CvCP,XC18,post-deployment,59.20,NA,76.40,57.59,16.49,
X,CvCP,XC19,post-deployment,53.48,NA,79.90,59.00,21.90,
X,CvCP,XC20,post-deployment,81.40,NA,89.70,65.20,24.20,
