Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Ashed_Shell_Tin_Weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Ashed_Tissue_Tin_Weight_g,Gonad_Tin_ID,Gonad_Tin_Weight_g,Dry_Gonad_Tin_Weight_g,Dry_Gonad_weight_g,Ashed_Gonad_Tin_Weight_g,Muscle_Tin_ID,Muscle_Tin_Weight_g,Dry_Muscle_Tin_Weight_g,Dry_Muscle_weight_g,Ashed_Muscle_Tin_Weight_g,Total_Dry_Tissue_g,Whole_Dry_Weight_g,notes
11/16/2022,7,B,7_B,16.6,17,0.4072,0.6706,0.2634,NA,17,0.3966,0.4297,0.0331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331,0.2965,used for respiration and excretion
11/16/2022,7,B,7_B,15.5,18,0.3942,0.6609,0.2667,NA,18,0.4057,0.4279,0.0222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222,0.2889,used for respiration and excretion
11/16/2022,7,C,7_C,15.6,19,0.4045,0.6074,0.2029,NA,19,0.4081,0.4311,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.2259,used for respiration and excretion
11/16/2022,7,C,7_C,14.4,20,0.403,0.6006,0.1976,NA,20,0.4032,0.4262,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.2206,used for respiration and excretion
11/16/2022,7,D,7_D,15.8,21,0.4039,0.6566,0.2527,NA,21,0.4054,0.4321,0.0267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267,0.2794,used for respiration and excretion
1/27/2023,7.5,A,7.5_A,26.4,21,NA,NA,NA,NA,21,0.3927,0.5115,0.1188,0.4205,21,0.3956,0.3956,0,0.396,21,0.3969,0.4329,0.036,0.4017,0.1548,0.1548,Biodeposition
1/27/2023,7.5,C,7.5_C,26.2,22,NA,NA,NA,NA,22,0.3944,0.4826,0.0882,0.4143,22,0.3973,0.3984,0.0011,0.3962,22,0.3931,0.4354,0.0423,0.398,0.1316,0.1316,Biodeposition
1/27/2023,8,A,8_A,24.3,23,NA,NA,NA,NA,23,0.3987,0.463,0.0643,0.4136,23,0.3957,0.3959,0.0002,0.3985,23,0.3948,0.4104,0.0156,0.4005,0.0801,0.0801,Biodeposition
1/27/2023,7.5,B,7.5_B,26.4,24,NA,NA,NA,NA,24,0.402,0.5227,0.1207,0.4325,24,0.3962,0.4005,0.0043,0.3978,24,0.392,0.4449,0.0529,0.399,0.1779,0.1779,Biodeposition
1/27/2023,8,B,8_B,25.2,25,NA,NA,NA,NA,25,0.3982,0.497,0.0988,0.4237,25,0.4005,0.4048,0.0043,0.4021,25,0.3928,0.4224,0.0296,0.3972,0.1327,0.1327,Biodeposition
1/27/2023,7.5,A,7.5_A,22.8,26,NA,NA,NA,NA,26,0.3999,0.4752,0.0753,0.4192,26,0.3971,0.3988,0.0017,0.3978,26,0.3954,0.4141,0.0187,0.3977,0.0957,0.0957,Biodeposition
1/27/2023,7.5,D,7.5_D,27.1,27,NA,NA,NA,NA,27,0.3932,0.4953,0.1021,0.4207,27,0.3996,0.4009,0.0013,0.4001,27,0.3953,0.4382,0.0429,0.4019,0.1463,0.1463,Biodeposition
1/27/2023,8,C,8_C,24,28,NA,NA,NA,NA,28,0.3926,0.4644,0.0718,0.4117,28,0.4006,0.4006,0,0.4011,28,0.3873,0.406,0.0187,0.3905,0.0905,0.0905,Biodeposition
1/27/2023,8,A,8_A,24.2,29,NA,NA,NA,NA,29,0.3966,0.4814,0.0848,0.421,29,0.4061,0.4075,0.0014,0.4069,29,0.3967,0.4172,0.0205,0.3998,0.1067,0.1067,Biodeposition
1/27/2023,7,A,7_A,23.8,30,NA,NA,NA,NA,30,0.3915,0.4668,0.0753,0.41,30,0.3931,0.3955,0.0024,0.3973,30,0.3957,0.4251,0.0294,0.4009,0.1071,0.1071,Biodeposition
1/27/2023,8,B,8_B,23.5,31,NA,NA,NA,NA,31,0.3962,0.457,0.0608,0.414,31,0.4002,0.4003,0.0001,0.4004,31,0.4009,0.4127,0.0118,0.4025,0.0727,0.0727,Biodeposition
1/27/2023,8,D,8_D,NA,32,NA,NA,NA,NA,32,0.3955,0.5078,0.1123,0.4247,32,0.2877,0.3957,0.108,0.3946,32,0.3938,0.4172,0.0234,0.3923,0.2437,0.2437,Biodeposition
1/27/2023,7.5,B,7.5_B,22.5,33,NA,NA,NA,NA,33,0.3922,0.4587,0.0665,0.4091,33,0.3908,0.3907,-0.0001,0.391,33,0.4008,0.4134,0.0126,0.4025,0.079,0.079,Biodeposition
1/27/2023,7,D,7_D,25,34,NA,NA,NA,NA,34,0.3908,0.465,0.0742,0.4116,34,0.3987,0.3987,0,0.3989,34,0.3918,0.4093,0.0175,0.3943,0.0917,0.0917,Biodeposition
1/27/2023,7,D,7_D,25.3,35,NA,NA,NA,NA,35,0.3929,0.5066,0.1137,0.4271,35,0.3887,0.3919,0.0032,0.3897,35,0.3945,0.4149,0.0204,0.3974,0.1373,0.1373,Biodeposition
1/27/2023,7,C,7_C,21.9,36,NA,NA,NA,NA,36,0.4,0.5109,0.1109,0.4386,36,0.3929,0.3929,0,0.393,36,0.4015,0.4345,0.033,0.4071,0.1439,0.1439,Biodeposition
1/27/2023,7,C,7_C,26.9,37,NA,NA,NA,NA,37,0.3989,0.5067,0.1078,0.4255,37,0.3982,0.3981,-0.0001,0.3981,37,0.3912,0.4363,0.0451,0.3983,0.1528,0.1528,Biodeposition
1/27/2023,7,B,7_B,25.7,38,NA,NA,NA,NA,38,0.3886,0.5076,0.119,0.4168,38,0.3975,0.3975,0,0.3977,38,0.393,0.4155,0.0225,0.3971,0.1415,0.1415,Biodeposition
1/27/2023,7.5,D,7.5_D,24.1,39,NA,NA,NA,NA,39,0.3924,0.4881,0.0957,0.4196,39,0.3999,0.4016,0.0017,0.4005,39,0.3973,0.4211,0.0238,0.4008,0.1212,0.1212,Biodeposition
1/27/2023,7.5,C,7.5_C,24.7,40,NA,NA,NA,NA,40,0.3906,0.4958,0.1052,0.4225,40,0.3868,0.389,0.0022,0.3876,40,0.3963,0.4237,0.0274,0.3995,0.1348,0.1348,Biodeposition
1/27/2023,7,B,7_B,25.1,41,NA,NA,NA,NA,41,0.3979,0.4957,0.0978,0.4359,41,0.3946,0.3968,0.0022,0.3957,41,0.3936,0.4125,0.0189,0.3984,0.1189,0.1189,Biodeposition
1/27/2023,8,C,8_C,26.4,42,NA,NA,NA,NA,42,0.3946,0.5051,0.1105,0.4241,42,0.3945,0.3972,0.0027,0.3954,42,0.4013,0.4261,0.0248,0.4046,0.138,0.138,Biodeposition
1/27/2023,8,D,8_D,22.7,43,NA,NA,NA,NA,43,0.3942,0.4655,0.0713,0.4155,43,0.3934,0.3941,0.0007,0.3936,43,0.3997,0.4189,0.0192,0.4022,0.0912,0.0912,Biodeposition
1/27/2023,7,A,7_A,23.3,44,NA,NA,NA,NA,44,0.3923,0.5,0.1077,0.4184,44,0.395,0.3975,0.0025,0.3958,44,0.3891,0.4052,0.0161,0.3907,0.1263,0.1263,Biodeposition
2/27/2023,7,C,7_C,35.1,45,1.1072,3.6074,2.5002,3.5665,45,0.3979,0.6753,0.2774,0.4605,45,0.3955,0.4674,0.0719,0.4113,45,0.398,0.513,0.115,0.4161,0.4643,2.9645,Length measurements
2/27/2023,7,B,7_B,37.7,46,1.1171,4.755,3.6379,4.6978,46,0.4016,0.7591,0.3575,0.4795,46,0.3945,0.6066,0.2121,0.4403,46,0.392,0.5922,0.2002,0.4268,0.7698,4.4077,Length measurements
2/27/2023,7,C,7_C,27.1,47,1.1046,2.2393,1.1347,2.2233,47,0.4021,0.5242,0.1221,0.4366,47,0.3968,0.3968,0,0.3967,47,0.3962,0.4412,0.045,0.4046,0.1671,1.3018,Length measurements
2/27/2023,7,C,7_C,22,48,1.1057,1.7301,0.6244,1.7197,48,0.4015,0.4745,0.073,0.4376,48,0.398,0.4091,0.0111,0.4033,48,0.3911,0.4193,0.0282,0.4016,0.1123,0.7367,Length measurements
2/27/2023,7,B,7_B,32.3,49,1.1132,3.0086,1.8954,2.974,49,0.3958,0.5577,0.1619,0.4571,49,0.4013,0.4538,0.0525,0.4158,49,0.398,0.5087,0.1107,0.43,0.3251,2.2205,Length measurements
2/27/2023,7,B,7_B,32.5,50,1.123,3.2403,2.1173,3.2024,50,0.391,0.6108,0.2198,0.4536,50,0.3939,0.4598,0.0659,0.4112,50,0.3944,0.5168,0.1224,0.4213,0.4081,2.5254,Length measurements
2/27/2023,8,B,8_B,39.5,51,1.1048,4.4163,3.3115,NA,51,0.4003,0.6544,0.2541,NA,51,0.3988,0.5088,0.11,NA,51,0.3937,0.5624,0.1687,NA,0.5328,3.8443,Length measurements
2/27/2023,7,E,7_E,36.5,52,1.1166,3.9501,2.8335,NA,52,0.3932,0.703,0.3098,NA,52,0.4,0.5227,0.1227,NA,52,0.396,0.5063,0.1103,NA,0.5428,3.3763,Length measurements
2/27/2023,7,E,7_E,35,53,1.1063,3.4456,2.3393,NA,53,0.4022,0.6405,0.2383,NA,53,0.3961,0.4134,0.0173,NA,53,0.4016,0.4968,0.0952,NA,0.3508,2.6901,Length measurements
2/27/2023,7,E,7_E,34.4,54,1.1021,3.716,2.6139,NA,54,0.3966,0.6549,0.2583,NA,54,0.3992,0.4957,0.0965,NA,54,0.3968,0.5351,0.1383,NA,0.4931,3.107,Length measurements
2/27/2023,7,B,7_B,28,55,1.1109,2.336,1.2251,NA,55,0.39,0.5197,0.1297,NA,55,0.3992,0.4121,0.0129,NA,55,0.388,0.4392,0.0512,NA,0.1938,1.4189,Length measurements
2/27/2023,7,E,7_E,28.7,56,1.1107,2.4493,1.3386,NA,56,0.3917,0.5111,0.1194,NA,56,0.4047,0.4131,0.0084,NA,56,0.4011,0.4669,0.0658,NA,0.1936,1.5322,Length measurements
2/27/2023,8,B,8_B,37.4,57,1.114,4.4948,3.3808,4.3752,57,0.4043,0.6983,0.294,0.4754,57,0.3939,0.4664,0.0725,0.4081,57,0.391,0.5259,0.1349,0.4143,0.5014,3.8822,Length measurements
2/27/2023,8,B,8_B,34.1,58,1.092,3.1059,2.0139,3.0716,58,0.3969,0.5804,0.1835,0.4397,58,0.3944,0.3967,0.0023,0.3946,58,0.3945,0.4849,0.0904,0.4114,0.2762,2.2901,Length measurements
2/27/2023,8,B,8_B,26.7,59,1.1205,2.214,1.0935,2.1958,59,0.3911,0.5155,0.1244,0.4219,59,0.3955,0.3955,0,0.3954,59,0.3904,0.4346,0.0442,0.3988,0.1686,1.2621,Length measurements
2/27/2023,7,F,7_F,41.1,60,1.1157,4.9987,3.883,NA,60,1.1077,1.4712,0.3635,1.1938,60,0.3933,0.4711,0.0778,0.4103,60,0.401,0.5537,0.1527,0.4334,0.594,4.477,Biodeposition
2/27/2023,7,D,7_D,35.3,61,1.1166,3.6526,2.536,NA,61,1.1134,1.3366,0.2232,1.1582,61,0.3983,0.4829,0.0846,0.418,61,0.3943,0.5583,0.164,0.4314,0.4718,3.0078,Biodeposition
2/27/2023,7,C,7_C,36.5,62,1.1062,4.0251,2.9189,NA,62,1.0926,1.3491,0.2565,1.1509,62,0.3997,0.5432,0.1435,0.4375,62,0.4016,0.5714,0.1698,0.4437,0.5698,3.4887,Biodeposition
2/27/2023,8,G,8_G,33.7,63,1.1107,4.0729,2.9622,NA,63,1.0932,1.314,0.2208,1.1661,63,0.4026,0.418,0.0154,0.4068,63,0.3995,0.5207,0.1212,0.44,0.3574,3.3196,Biodeposition
2/27/2023,7,E,7_E,37,64,1.1289,4.1387,3.0098,NA,64,1.088,1.3577,0.2697,1.2254,64,0.4,0.4162,0.0162,0.4055,64,0.3888,0.5212,0.1324,0.4224,0.4183,3.4281,Biodeposition
2/27/2023,7,B,7_B,35.5,65,1.1224,4.3476,3.2252,NA,65,1.1072,1.3507,0.2435,1.164,65,0.398,0.5393,0.1413,0.428,65,0.3899,0.6024,0.2125,0.4262,0.5973,3.8225,Biodeposition
2/27/2023,8,A,8_A,37.05,66,1.1114,3.8964,2.785,NA,66,1.0997,1.3585,0.2588,1.1629,66,0.3957,0.41,0.0143,0.4004,66,0.3943,0.5395,0.1452,0.4222,0.4183,3.2033,Biodeposition
2/27/2023,7,G,7_G,39,67,1.1046,4.4012,3.2966,NA,67,1.0761,1.3706,0.2945,1.1607,67,0.3967,0.482,0.0853,0.4165,67,0.4036,0.5468,0.1432,0.4317,0.523,3.8196,Biodeposition
2/27/2023,8,B,8_B,42.5,68,1.1049,5.8619,4.757,NA,68,1.0956,1.456,0.3604,1.1901,68,0.3989,0.4254,0.0265,0.4061,68,0.3906,0.6321,0.2415,0.4396,0.6284,5.3854,Biodeposition
2/27/2023,8,F,8_F,40.7,69,1.1143,5.0397,3.9254,NA,69,1.0924,1.4054,0.313,1.217,69,0.3998,0.4217,0.0219,0.4074,69,0.3939,0.5836,0.1897,0.4369,0.5246,4.45,Biodeposition
2/27/2023,7.5,G,7.5_G,37.2,70,1.1093,4.2357,3.1264,NA,70,1.0932,1.3049,0.2117,1.1872,70,0.4007,0.4096,0.0089,0.4048,70,0.3914,0.546,0.1546,0.4504,0.3752,3.5016,Biodeposition
2/27/2023,7.5,A,7.5_A,37.2,71,1.1034,4.5975,3.4941,NA,71,1.0982,1.374,0.2758,1.1663,71,0.4004,0.4826,0.0822,0.4187,71,0.3978,0.5683,0.1705,0.4276,0.5285,4.0226,Biodeposition
2/27/2023,8,E,8_E,36.3,72,1.1037,4.0307,2.927,NA,72,1.0967,1.3168,0.2201,1.163,72,0.397,0.408,0.011,0.4008,72,0.3912,0.5414,0.1502,0.4233,0.3813,3.3083,Biodeposition
2/27/2023,7,A,7_A,39.4,73,1.1043,5.0231,3.9188,NA,73,1.0958,1.3846,0.2888,1.1808,73,0.3936,0.4447,0.0511,0.4098,73,0.397,0.5515,0.1545,0.4439,0.4944,4.4132,Biodeposition
2/27/2023,8,D,8_D,39.4,74,1.1206,4.4338,3.3132,NA,74,1.0884,1.3923,0.3039,1.1687,74,0.3964,0.4424,0.046,0.4053,74,0.3921,0.5574,0.1653,0.4092,0.5152,3.8284,Biodeposition
2/27/2023,7.5,F,7.5_F,35.7,75,1.13,4.1889,3.0589,NA,75,1.0932,1.326,0.2328,1.1699,75,0.3894,0.3979,0.0085,0.3919,75,0.3965,0.4815,0.085,0.4087,0.3263,3.3852,Biodeposition
2/27/2023,7.5,E,7.5_E,37.2,76,1.111,4.5134,3.4024,NA,76,1.0911,1.3916,0.3005,1.1894,76,0.3936,0.4217,0.0281,0.399,76,0.3926,0.5399,0.1473,0.4093,0.4759,3.8783,Biodeposition
2/27/2023,7.5,B,7.5_B,38.7,77,1.1221,5.0943,3.9722,NA,77,1.0954,1.4406,0.3452,1.1839,77,0.4015,0.4986,0.0971,0.4181,77,0.4026,0.5917,0.1891,0.4219,0.6314,4.6036,Biodeposition
2/27/2023,7.5,D,7.5_D,36.8,78,1.1122,4.7268,3.6146,NA,78,1.1013,1.3935,0.2922,1.1812,78,0.4017,0.5108,0.1091,0.4202,78,0.3943,0.6033,0.209,0.421,0.6103,4.2249,Biodeposition
2/27/2023,7.5,C,7.5_C,34.4,79,1.1218,3.6705,2.5487,NA,79,1.1106,1.3269,0.2163,1.1646,79,0.3921,0.4279,0.0358,0.3987,79,0.3984,0.5208,0.1224,0.4127,0.3745,2.9232,Biodeposition
2/27/2023,8,G,8_G,37.35,80,1.1103,4.7006,3.5903,4.6486,80,1.1002,1.3997,0.2995,1.1683,80,0.4036,0.4384,0.0348,0.4105,80,0.393,0.5675,0.1745,0.4142,0.5088,4.0991,Length measurements
2/27/2023,8,G,8_G,37.8,81,1.1024,4.9201,3.8177,4.861,81,1.1049,1.4326,0.3277,1.1812,81,0.3978,0.4239,0.0261,0.4042,81,0.3977,0.6069,0.2092,0.4245,0.563,4.3807,Length measurements
2/27/2023,8,G,8_G,39.85,82,1.1067,4.7675,3.6608,4.7129,82,1.0958,1.3828,0.287,1.1736,82,0.4028,0.4336,0.0308,0.4101,82,0.394,0.6061,0.2121,0.4277,0.5299,4.1907,Length measurements
2/27/2023,7,F,7_F,37.4,83,1.1021,4.3796,3.2775,4.3206,83,1.0998,1.4336,0.3338,1.1905,83,0.4006,0.4311,0.0305,0.4068,83,0.4023,0.5785,0.1762,0.4271,0.5405,3.818,Length measurements
2/27/2023,7,F,7_F,38.9,84,1.1022,4.5674,3.4652,4.5104,84,1.0972,1.4501,0.3529,1.1955,84,0.3984,0.4911,0.0927,0.418,84,0.3927,0.446,0.0533,0.4002,0.4989,3.9641,Length measurements
2/27/2023,8,G,8_G,39.9,85,1.113,5.0916,3.9786,5.0344,85,1.109,1.4571,0.3481,1.2378,85,0.3959,0.4596,0.0637,0.4136,85,0.4011,0.6255,0.2244,0.4487,0.6362,4.6148,Length measurements
2/27/2023,8,G,8_G,34,86,1.1158,3.6711,2.5553,3.6146,86,1.1051,1.3081,0.203,1.155,86,0.3968,0.4085,0.0117,0.3998,86,0.3889,0.5119,0.123,0.4069,0.3377,2.893,Length measurements
2/27/2023,8,G,8_G,42.5,87,1.1045,5.8574,4.7529,5.7862,87,1.1065,1.5004,0.3939,1.2032,87,0.3906,0.4824,0.0918,0.4105,87,0.3981,0.6487,0.2506,0.4328,0.7363,5.4892,Length measurements
2/27/2023,7,F,7_F,39.65,88,1.1183,2.8002,1.6819,2.7732,88,1.0888,1.242,0.1532,1.1323,88,0.3891,0.3969,0.0078,0.3929,88,0.3982,0.4869,0.0887,0.4117,0.2497,1.9316,Length measurements
2/27/2023,7,F,7_F,31.1,89,1.1057,2.9338,1.8281,2.9092,89,1.0989,1.2591,0.1602,1.142,89,0.3998,0.4149,0.0151,0.4048,89,0.3944,0.4673,0.0729,0.4048,0.2482,2.0763,Length measurements
2/27/2023,8,C,8_C,37.2,90,1.1021,4.5393,3.4372,NA,90,1.0999,1.3655,0.2656,1.1671,90,0.4003,0.4203,0.02,0.4049,90,0.4008,0.5481,0.1473,0.4257,0.4329,3.8701,Biodeposition
2/27/2023,8,G,8_G,28.65,91,1.1006,2.6252,1.5246,2.6017,91,1.0963,1.2413,0.145,1.1381,91,0.398,0.4052,0.0072,0.4006,91,0.3985,0.4635,0.065,0.4113,0.2172,1.7418,Length measurements
2/27/2023,8,G,8_G,40.85,92,1.1152,5.0592,3.944,5.043,92,1.1022,1.445,0.3428,1.1997,92,0.3957,0.4629,0.0672,0.4124,92,0.3959,0.5999,0.204,0.4452,0.614,4.558,Length measurements
2/27/2023,7.5,G,7.5_G,32.9,93,1.1216,3.1429,2.0213,3.1107,93,1.0899,1.2653,0.1754,1.1403,93,0.4009,0.413,0.0121,0.4048,93,0.3934,0.4718,0.0784,0.4062,0.2659,2.2872,Length measurements
2/27/2023,7.5,G,7.5_G,41.6,94,1.1092,4.7449,3.6357,4.6862,94,1.1001,1.4978,0.3977,1.2139,94,0.4006,0.5123,0.1117,0.4245,94,0.3985,0.592,0.1935,0.4281,0.7029,4.3386,Length measurements
2/27/2023,7.5,G,7.5_G,40.9,95,1.1125,4.9846,3.8721,4.9208,95,1.1016,1.4831,0.3815,1.1898,95,0.3987,0.4284,0.0297,0.4043,95,0.3852,0.5749,0.1897,0.4225,0.6009,4.473,Length measurements
2/27/2023,7.5,G,7.5_G,34.4,96,1.1062,3.4872,2.381,3.4508,96,1.1171,1.3304,0.2133,1.1725,96,0.3995,0.4781,0.0786,0.4154,96,0.3995,0.5235,0.124,0.4227,0.4159,2.7969,Length measurements
2/27/2023,7.5,G,7.5_G,36.9,97,1.1116,4.3546,3.243,4.3061,97,1.0809,1.3719,0.291,1.1601,97,0.3957,0.4108,0.0151,0.3995,97,0.3941,0.555,0.1609,0.4278,0.467,3.71,Length measurements
2/27/2023,7.5,G,7.5_G,39.2,98,1.096,4.7143,3.6183,4.6735,98,1.0993,1.3314,0.2321,1.1935,98,0.4021,0.4646,0.0625,0.4194,98,0.4036,0.5885,0.1849,0.4533,0.4795,4.0978,Length measurements
2/27/2023,7.5,G,7.5_G,26.8,99,1.1097,2.3828,1.2731,2.3648,99,1.0971,1.1758,0.0787,1.1267,99,0.401,0.4046,0.0036,0.4029,99,0.3993,0.4251,0.0258,0.4054,0.1081,1.3812,Length measurements
2/27/2023,7.5,G,7.5_G,23.7,100,1.1045,1.8312,0.7267,1.819,100,1.0982,1.1713,0.0731,1.1176,100,0.3952,0.3974,0.0022,0.3977,100,0.4028,0.4311,0.0283,0.4102,0.1036,0.8303,Length measurements
2/27/2023,7.5,G,7.5_G,23.75,101,1.1018,1.9031,0.8013,1.8881,101,1.096,1.1648,0.0688,1.113,101,0.3993,0.4013,0.002,0.3999,101,0.3965,0.4287,0.0322,0.4004,0.103,0.9043,Length measurements
2/27/2023,7.5,G,7.5_G,39.6,102,1.1187,4.987,3.8683,4.9216,102,1.1061,1.4007,0.2946,1.184,102,0.3927,0.4701,0.0774,0.4053,102,0.3964,0.574,0.1776,0.4159,0.5496,4.4179,Length measurements
2/27/2023,7.5,G,7.5_G,41.2,103,1.1043,4.824,3.7197,4.7672,103,1.102,1.428,0.326,1.1761,103,0.399,0.4335,0.0345,0.4069,103,0.392,0.5376,0.1456,0.4212,0.5061,4.2258,Length measurements
2/27/2023,8,E,8_E,39,104,1.0961,4.3072,3.2111,4.2563,104,1.097,1.4137,0.3167,1.1842,104,0.4043,0.5498,0.1455,0.4249,104,0.3888,0.5227,0.1339,0.4032,0.5961,3.8072,Length measurements
2/27/2023,8,E,8_E,38.5,105,1.101,4.6129,3.5119,4.5596,105,1.0961,1.3708,0.2747,1.183,105,0.3948,0.4346,0.0398,0.4035,105,0.3902,0.555,0.1648,0.4103,0.4793,3.9912,Length measurements
2/27/2023,8,E,8_E,40.3,106,1.1171,4.8944,3.7773,4.8496,106,1.0914,1.388,0.2966,1.169,106,0.4041,0.4536,0.0495,0.4142,106,0.3942,0.5636,0.1694,0.4168,0.5155,4.2928,Length measurements
2/27/2023,8,E,8_E,33.4,107,1.1033,3.1996,2.0963,3.1666,107,1.112,1.3137,0.2017,1.1673,107,0.3927,0.4066,0.0139,0.3961,107,0.3984,0.5199,0.1215,0.4112,0.3371,2.4334,Length measurements
2/27/2023,7,G,7_G,37.1,108,1.0966,4.1126,3.016,4.0703,108,1.1111,1.3857,0.2746,1.1869,108,0.3995,0.5193,0.1198,0.4234,108,0.3979,0.506,0.1081,0.4102,0.5025,3.5185,Length measurements
2/27/2023,7,G,7_G,38.85,109,1.1128,4.4809,3.3681,4.4313,109,1.1131,1.4205,0.3074,1.2041,109,0.3961,0.4253,0.0292,0.4037,109,0.3935,0.5311,0.1376,0.4097,0.4742,3.8423,Length measurements
2/27/2023,7,G,7_G,36.4,110,1.0955,3.8037,2.7082,3.7638,110,1.076,1.3183,0.2423,1.1523,110,0.4054,0.4232,0.0178,0.4116,110,0.4048,0.5319,0.1271,0.4256,0.3872,3.0954,Length measurements
2/27/2023,7,G,7_G,31.6,111,1.0997,2.5778,1.4781,2.5553,111,1.102,1.2455,0.1435,1.143,111,0.3977,0.4063,0.0086,0.4001,111,0.4043,0.474,0.0697,0.4148,0.2218,1.6999,Length measurements
