"","Date","treatment","animal_number","initial_filter_weight_mg","dry_filter_weight_mg","ash_filter_weight_mg","tank_ID.x","inclubation_time_hours","animal_length_mm","animal_dry_weight_g","TPM_mgL","PIM_mgL","POM_mgL","Perc_INORG","Perc_ORG","RR_mghr","ORR_mghr","IRR_mghr","tank_ID.y","ER_mghr","OER_mghr","IER_mghr","IER_correct","IRR_correct","OER_correct","ORR_correct","CR","FR","RR_correct","p","f","SE","IFR","CR_correct","FR_correct","RR_Percent","TIR","OFR","OIR","i","AR","AE","pCO2"
"11",20230201,7.5,4,23.952,29.407,27.507,"7.5D",2,"27.1",0.1463,5.455,3.555,1.9,65.1695692025665,34.8304307974335,2.7275,0.949999999999999,1.7775,"7.5D",0.7075,0.33,0.3775,1.18694702865906,5.58886978395093,1.03759607803308,2.98701901251948,1.86311239193084,7.37637247838617,8.57588879647041,0.348304307974335,0.711421103075303,0.510410491804784,6.77581681260998,5.85805488121901,23.1930156172262,36.976169627984,14.6171268207558,16.4171988046163,13.4301797920968,0.918797514503765,12.3925837140637,0.922741460345626,"800 μatm"
"12",20230201,7.5,5,24.6,25.85,25.13,"7.5A",2,"22.8",0.0957,1.25,0.529999999999998,0.720000000000002,42.3999999999998,57.6000000000002,0.625,0.360000000000001,0.264999999999999,"7.5A",1.4265,0.4605,0.966000000000001,3.91159256079415,1.07305593023855,1.86468775801833,1.45773635805994,1.064265129683,4.2136030259366,2.53079228829849,0.576000000000002,0.711421103075303,0.190352946363143,4.98464849103271,4.30949437265076,17.0620064703864,14.8329113149209,14.531214182088,12.0773579793537,10.6196216212938,0.730814472088932,8.75493386327548,0.824411092549722,"800 μatm"
"13",20230201,7.5,6,24.67,29.71,27.525,"7.5B",2,"22.5",0.0791,5.04,2.855,2.185,56.6468253968253,43.3531746031747,2.52,1.0925,1.4275,"7.5B",1.348,0.4,0.947999999999999,4.30026434409609,6.47534530717001,1.81445752915447,4.95573712650315,2.05374639769452,8.13112427953889,11.4310824336732,0.433531746031747,0.711421103075303,0.390611630498881,10.7756096512661,9.31608903567675,36.8839491737501,30.9920241453117,25.452866740077,26.1083395224841,21.1526023959809,0.831049901450783,19.3381448668264,0.914220600605662,"800 μatm"
"14",20230201,7.5,7,25.124,30.264,28.179,"7.5C",2,"24.7",0.1348,5.14,3.055,2.085,59.4357976653696,40.5642023346304,2.57,1.0425,1.5275,"7.5C",1.6635,0.474499999999999,1.189,3.92542495313719,5.04296603525404,1.56653838541934,3.44176241685914,2.3485590778098,9.29833681556196,8.48472845211318,0.405642023346304,0.711421103075303,0.429814463483287,8.96839098839122,7.75365215134689,30.6980011425408,27.6393515418669,22.2132726904277,21.7296101541496,18.2878477372905,0.823284708748533,16.7213093518712,0.914339926276561,"800 μatm"
"15",20230201,8,1,24.944,29.39,27.639,"8A",2,"24.3",0.0801,4.446,2.695,1.751,60.6162843004948,39.3837156995052,2.223,0.875500000000001,1.3475,"8A",1.5815,0.411,1.1705,2.51518981457523,2.89553035039737,0.883163617078529,1.88128892153833,1.48466981132075,7.33129952830189,4.7768192719357,0.393837156995052,0.649618192501701,0.393740567088535,5.4107201649726,3.1902831161395,15.7536180274969,30.322045790358,10.9767987555612,10.3428978625243,8.46160894098595,0.770863083984212,7.57844532390742,0.895626987345078,"500 μatm"
"16",20230201,8,2,24.296,28.027,26.92,"8B",2,"25.2",0.1327,3.731,2.624,1.107,70.3296703296704,29.6703296703296,1.8655,0.5535,1.312,"8B",1.553,0.383000000000001,1.17,2.15752567254803,2.41937921571198,0.706266950928118,1.02067560662849,1.46344339622641,7.22648349056604,3.44005482234047,0.296703296703296,0.649618192501701,0.543265105367997,4.57690488826001,2.69864675015331,13.325917652257,25.8147687244475,9.88586282991656,8.74901276399702,7.72833715736853,0.781756462772381,7.02207020644042,0.908613336019543,"500 μatm"
"17",20230201,8,3,24.449,27.249,27.871,"8C",2,"24",0.0905,2.8,3.422,-0.622,122.214285714286,-22.2142857142857,1.4,-0.311,1.711,"8C",1.3525,0.345499999999999,1.007,2.08528275195388,3.54311696980445,0.715456991857064,-0.644014832033422,1.60259433962264,7.9136108490566,2.89910213777103,-0.222142857142857,0.649618192501701,1.3419591072217,5.62839972175833,3.31863191141411,16.3874043785629,17.6910392323233,13.4883022407918,10.7590046568045,11.403019488838,0.845400650524609,10.6875624969809,0.937257233265505,"500 μatm"
"18",20230201,8,4,24.463,28.5,27.305,"8D",2,"22.7",0.0912,4.037,2.842,1.195,70.398810998266,29.601189001734,2.0185,0.5975,1.421,"8D",1.014,0.349500000000001,0.6645,1.37282933037184,2.93572682988469,0.722052446899861,1.23441012023653,1.22965801886792,6.07205129716981,4.17013695012122,0.29601189001734,0.649618192501701,0.544329433143816,4.30855616025653,2.5404222643022,12.5446051411242,33.2424727857755,8.37446819100303,8.23604898086772,7.00163886063119,0.836069670448242,6.27958641373133,0.896873794654018,"500 μatm"
"19",20230201,8,5,24.325,30.674,28.239,"8A",2,"24.2",0.1067,6.349,3.914,2.435,61.6475035438652,38.3524964561348,3.1745,1.2175,1.957,"8A",1.1575,0.317500000000001,0.84,1.65479982759377,3.85528959833453,0.625474934834551,2.39847475011359,1.64917452830189,8.14362382075472,6.25376434844812,0.383524964561348,0.649618192501701,0.409614802990075,5.5100894259283,3.24887348226904,16.0429372554445,38.981417485291,9.78917290699642,10.5328478295162,8.13437307940265,0.830956114135949,7.5088981445681,0.923107173874488,"500 μatm"
"20",20230201,8,6,24.796,28.995,27.462,"8B",2,"23.5",0.0727,4.199,2.666,1.533,63.4913074541557,36.5086925458443,2.0995,0.766500000000001,1.333,"8B",0.2715,0.2235,0.048,0.10621755759794,2.94975008912613,0.494575502565408,1.69616162289211,0.814268867924528,4.02085966981132,4.64591171201824,0.365086925458443,0.649618192501701,0.437997688992544,3.05596764672407,1.80186771622881,8.89762278273788,52.2152020316223,4.25171107071965,5.84165513601381,4.14549351312171,0.975017691505561,3.6509180105563,0.880695627432553,"500 μatm"
