"Airradians_TranscriptID","log2FoldChange","up","down","Effect","gene.annotation"
"evm.model.Contig465.29",1.24876940107074,TRUE,FALSE,"Generation_1","GO:0016853;GO:0042592"
"evm.model.Contig465.6",1.41573863229936,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig481.27",1.32664451660987,TRUE,FALSE,"Generation_1","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0032991"
"evm.model.Contig482.42",-0.41674443001521,FALSE,TRUE,"Generation_1","GO:0005622;GO:0006464;GO:0032991;GO:0043167"
"evm.model.Contig483.64",-1.00813293276239,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig483.90",-0.88120152436719,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig495.12",0.660459409135622,TRUE,FALSE,"Generation_1","GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig504.33",0.58217797000171,TRUE,FALSE,"Generation_1","GO:0005840;GO:0008135"
"evm.model.Contig517.46",-0.969037124287564,FALSE,TRUE,"Generation_1","GO:0005198;GO:0005856"
"evm.model.Contig517.82",0.683204259608251,TRUE,FALSE,"Generation_1",""
"evm.model.Contig519.25",0.481983965633305,TRUE,FALSE,"Generation_1","GO:0005654;GO:0006397;GO:0032991"
"evm.model.Contig52.1.2",0.399608664376733,TRUE,FALSE,"Generation_1","GO:0006629;GO:0009058;GO:0044281"
"evm.model.Contig52.125",0.851354806021173,TRUE,FALSE,"Generation_1","GO:0003674"
"evm.model.Contig53.27",0.37964627431361,TRUE,FALSE,"Generation_1","GO:0005634"
"evm.model.Contig53.39",0.519831371583044,TRUE,FALSE,"Generation_1","GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0008289;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig53.51",0.434966903944696,TRUE,FALSE,"Generation_1","GO:0043167"
"evm.model.Contig548.25",0.729449751958769,TRUE,FALSE,"Generation_1","GO:0016491;GO:0043167"
"evm.model.Contig548.51",0.532046835912747,TRUE,FALSE,"Generation_1","GO:0003674;GO:0006520;GO:0006790;GO:0034655;GO:0051186"
"evm.model.Contig548.52",0.732987575353144,TRUE,FALSE,"Generation_1","GO:0022857;GO:0032991"
"evm.model.Contig550.16",-0.385974034387306,FALSE,TRUE,"Generation_1","GO:0003674"
"evm.model.Contig554.3",-1.12259110950681,FALSE,TRUE,"Generation_1","GO:0016491"
"evm.model.Contig555.8",-0.940485550499563,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig57.150",-0.949185784994895,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig57.47",0.707986680691223,TRUE,FALSE,"Generation_1","GO:0005840;GO:0008135"
"evm.model.Contig58.77",1.03667203538461,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig6.73",0.671568785590101,TRUE,FALSE,"Generation_1",""
"evm.model.Contig631.31.1",-0.418362065461393,FALSE,TRUE,"Generation_1","GO:0005575;GO:0022857"
"evm.model.Contig632.57",0.544088093913072,TRUE,FALSE,"Generation_1","GO:0003677;GO:0005654;GO:0005730;GO:0009058;GO:0016779;GO:0032991;GO:0034641;GO:0044281"
"evm.model.Contig650.18",-0.963226374084574,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig677.36",-0.910503391561575,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig680.8",0.624428787300174,TRUE,FALSE,"Generation_1","GO:0006464;GO:0016757"
"evm.model.Contig685.31",-0.392292195820855,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254"
"evm.model.Contig687.23",-0.503557812070035,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig721.23",0.460351458981971,TRUE,FALSE,"Generation_1","GO:0006810;GO:0008289;GO:0043167"
"evm.model.Contig723.43",0.69037843943016,TRUE,FALSE,"Generation_1","GO:0003674;GO:0005783;GO:0008150"
